ecosystem,sha,timestamp,link
aws-samples,4661e2e39679085f68dac3cfe53a08c6c2110ebd,2023-11-22 21:02:19,https://github.com/aws-samples/graviton-workshop/commit/4661e2e39679085f68dac3cfe53a08c6c2110ebd
aws-samples,93b9a88d4fcb93347669253b318749285ed689d8,2023-05-17 13:10:14,https://github.com/aws-samples/observability-with-amazon-opensearch/commit/93b9a88d4fcb93347669253b318749285ed689d8
aws-samples,2020340293a80afec7e6bda1563db2b6296762a3,2021-06-22 14:30:30,https://github.com/aws-samples/aws-management-and-governance-samples/commit/2020340293a80afec7e6bda1563db2b6296762a3
aws-samples,cc25edd70915abd3722ab57f5adacc8bf5954755,2022-10-18 07:38:29,https://github.com/aws-samples/jp-prototyping-blog/commit/cc25edd70915abd3722ab57f5adacc8bf5954755
aws-samples,5d07adb8de9cab25ce050382319032f3010da3fe,2022-06-28 15:14:16,https://github.com/aws-samples/amazon-codeguru-python-detectors/commit/5d07adb8de9cab25ce050382319032f3010da3fe
aws-samples,66e044327f528fc7ea5a603fe62b81e50d08942b,2022-11-09 23:40:34,https://github.com/aws-samples/amazon-ivs-on-demand-android-demo/commit/66e044327f528fc7ea5a603fe62b81e50d08942b
aws-samples,459df9ed3e4e4e1e46c2f16295e2ea18da9b121f,2023-05-01 22:49:40,https://github.com/aws-samples/aws-codeguru-profiler-python-demo-application/commit/459df9ed3e4e4e1e46c2f16295e2ea18da9b121f
aws-samples,5d3cb2ad1f7959a0a4335067c8c9eb4335d28199,2017-10-16 00:01:16,https://github.com/aws-samples/aws-cognito-java-desktop-app/commit/5d3cb2ad1f7959a0a4335067c8c9eb4335d28199
aws-samples,4484c7e51842263a350e9f328260eba207293c62,2022-03-14 15:50:31,https://github.com/aws-samples/observability-with-amazon-opensearch/commit/4484c7e51842263a350e9f328260eba207293c62
aws-samples,48b8bfc198bdcb6fdb315c981ba174438b9ec186,2024-05-06 19:15:08,https://github.com/aws-samples/eks-multi-cluster-gitops/commit/48b8bfc198bdcb6fdb315c981ba174438b9ec186
aws-samples,1112d5374e2d398cf84ad7eef217c45c212f3777,2022-08-04 10:14:28,https://github.com/aws-samples/observability-with-amazon-opensearch/commit/1112d5374e2d398cf84ad7eef217c45c212f3777
aws-samples,678455e83607b5cf9cff8e848360d8e392ab56a5,2023-06-13 04:58:28,https://github.com/aws-samples/data-engineering-for-aws-immersion-day/commit/678455e83607b5cf9cff8e848360d8e392ab56a5
aws-samples,db8b2946ecad640f78743fd3e1bb0aaf21fa9f16,2023-12-05 17:28:52,https://github.com/aws-samples/edge_diffusion_on_eks/commit/db8b2946ecad640f78743fd3e1bb0aaf21fa9f16
aws-samples,b400c738b19408af1d85d48a5793c3765afa119c,2023-09-20 19:29:03,https://github.com/aws-samples/aws-analytics-genai-llm-workshop/commit/b400c738b19408af1d85d48a5793c3765afa119c
aws-samples,b9fa5d34e369c2452ab590aba23bb985cf6c8838,2022-09-17 15:54:08,https://github.com/aws-samples/observability-with-amazon-opensearch/commit/b9fa5d34e369c2452ab590aba23bb985cf6c8838
